INFO 2025-05-06 03:52:14,159 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:52:14,750 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:52:14,758 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:52:14,763 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:52:28,179 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:52:28,179 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:53:24,429 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:53:24,981 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:53:24,986 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:53:24,988 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:53:41,518 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:53:41,518 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:57:44,004 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:57:44,538 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:57:44,554 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:57:44,557 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:59:39,368 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:59:39,837 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:59:39,852 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:59:39,868 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:59:51,717 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:59:51,717 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 04:01:36,977 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:01:37,581 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:01:37,585 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:01:37,587 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 04:03:36,961 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:03:37,430 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:03:37,465 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:03:37,467 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:03:51,174 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:03:51,174 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 04:04:05,438 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:04:06,018 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:04:06,024 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:04:06,029 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 04:10:05,410 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:10:05,879 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:10:05,894 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:10:05,894 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 04:15:17,221 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:15:17,736 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:15:17,736 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:15:17,736 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:15:28,083 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:15:28,083 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 04:20:59,151 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:00,190 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:00,206 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:00,206 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:11,130 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:11,131 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:12,426 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:12,426 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 04:21:21,835 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:22,397 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:22,413 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:22,413 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:24,139 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:24,140 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:25,042 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:25,043 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:25,970 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:21:25,971 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 04:23:26,146 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 04:23:26,681 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 04:25:39,958 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
